Country,Population,Net_Migrants,Per_Net_Migrants
China,1439323776,-348399,-0.00024
India,1380004385,-532687,-0.00039
Indonesia,273523615,-98955,-0.00036
Pakistan,220892340,-233379,-0.00106
Bangladesh,164689383,-369501,-0.00224
Japan,126476461,71560,0.00057
Philippines,109581078,-67152,-0.00061
Vietnam,97338579,-80000,-0.00082
Turkey,84339067,283922,0.00337
Iran,83992949,-55000,-0.00065
Thailand,69799978,19444,0.00028
Myanmar,54409800,-163313,-0.00300
South Korea,51269185,11731,0.00023
Iraq,40222493,7834,0.00019
Afghanistan,38928346,-62920,-0.00162
Saudi Arabia,34813871,134979,0.00388
Uzbekistan,33469203,-8863,-0.00026
Malaysia,32365999,50000,0.00154
Yemen,29825964,-30000,-0.00101
Nepal,29136808,41710,0.00143
North Korea,25778816,-5403,-0.00021
Taiwan,23816775,30001,0.00126
Sri Lanka,21413249,-97986,-0.00458
Kazakhstan,18776707,-18000,-0.00096
Syria,17500658,-427391,-0.02442
Cambodia,16718965,-30000,-0.00179
Jordan,10203134,10220,0.00100
Azerbaijan,10139177,1200,0.00012
United Arab Emirates,9890402,40000,0.00404
Tajikistan,9537645,-20000,-0.00210
Israel,8655535,10000,0.00116
Hong Kong,7496981,29308,0.00391
Laos,7275560,-14704,-0.00202
Lebanon,6825445,-30012,-0.00440
Kyrgyzstan,6524195,-4000,-0.00061
Turkmenistan,6031200,-5000,-0.00083
Singapore,5850342,27028,0.00462
Oman,5106626,87400,0.01712
State of Palestine,5101414,-10563,-0.00207
Kuwait,4270571,39520,0.00925
Georgia,3989167,-10000,-0.00251
Mongolia,3278290,-852,-0.00026
Armenia,2963243,-4998,-0.00169
Qatar,2881053,40000,0.01388
Bahrain,1701575,47800,0.02809
Timor-Leste,1318445,-5385,-0.00408
Cyprus,1207359,5000,0.00414
Bhutan,771608,320,0.00041
Macao,649335,5000,0.00770
Maldives,540544,11370,0.02103
Brunei,437479,0,0.00000
